nombre,codigo,precio,costo,stock,stock_minimo,categoria_id,proveedor
ACEITE FINO,1,50.00,35.00,100,10,LAXANTE,ABC Proveedores
ACETAMINAFEN PARA nino  80mg (RAMOS),2,50.00,35.00,200,10,ANTIPIRETICO,ABC Proveedores
ACETAMINOFEN 500MG TB PHARMA,3,50.00,35.00,300,10,ANTIPIRETICO,ABC Proveedores
ACETAMINOFEN JRB 120 MG/5 ML BIOPHARMA,4,50.00,35.00,400,10,ANTIPIRETICO,ABC Proveedores
ACETOMINAFEN GOTAS (RAMOS),5,50.00,35.00,500,10,ANTIPIRETICO,ABC Proveedores
ACETOMINAFEN JRB 120MG/5ML  Lab. LPSA,6,50.00,35.00,600,10,ANTIPIRETICO,ABC Proveedores
ACETOMINAFEN TAB 500 MG (RAMOS),7,50.00,35.00,700,10,ANTIPIRETICO,ABC Proveedores
ACETOMINOFEN BAYER TB 500 MG,8,50.00,35.00,800,10,ANTIPIRETICO,ABC Proveedores
ACETOMINOFEN JRB 120MG/5ml  Lab. RAMOS,9,50.00,35.00,900,10,ANTIPIRETICO,ABC Proveedores
ACETONA PEQUEÃ‘A,10,50.00,35.00,1000,10,COSMETICOS,ABC Proveedores
ACICLOVIR ALFA TAB 400 MG,11,50.00,35.00,1100,10,ANTIVIRAL,ABC Proveedores
ACICLOVIR CREMA 5% (SOLKA),12,50.00,35.00,1200,10,ANTIVIRAL,ABC Proveedores
ACIDO MEFENAMICO TAB 500 MG,13,50.00,35.00,1300,10,ANALGESICO,ABC Proveedores
ACIDO PRE-LAC (ACIDO FOLICO 5 mg) Lab Ramos,14,50.00,35.00,1400,10,VITAMINA,ABC Proveedores
ACTIMICINA BRONQUIAL F,15,50.00,35.00,1500,10,ANTIGRIPAL,ABC Proveedores
ACTIMICINA GRIPE Y TOS,16,50.00,35.00,1600,10,ANTIGRIPAL,ABC Proveedores
AFREX OXIMETAZOLINA 05%,17,50.00,35.00,1700,10,RINITIS,ABC Proveedores
AGUA BIDISTILADA (INYECTABLE),18,50.00,35.00,1800,10,ENFERMERIA,ABC Proveedores
AGUA OXIGENADA 4 OZ,19,50.00,35.00,1900,10,ENFERMERIA,ABC Proveedores
